UKHSA centre,Year,Primary Care,Secondary Care,Total
North East,2019,15290445.56,4033040.137,19323485.7
North East,2020,14293669.73,3217130.434,17510800.16
North East,2021,14407556.31,3441114.207,17848670.52
North East,2022,15350738.99,4000662.992,19351401.98
North East,2023,15770275.41,4291173.291,20061448.7
North East,2024,15672570.8,4457828.396,20130399.2
North West,2019,40549491.1,10652282.59,51201773.69
North West,2020,36382503.53,9000593.985,45383097.51
North West,2021,36634370.06,9271710.307,45906080.36
North West,2022,39897697.28,9964645.206,49862342.49
North West,2023,40290449.31,9486854.236,49777303.55
North West,2024,38887122.88,10084660.72,48971783.6
Yorkshire and Humber,2019,28538416.87,7666747.622,36205164.5
Yorkshire and Humber,2020,25484078.18,6472800.589,31956878.77
Yorkshire and Humber,2021,25552786.58,6562850.557,32115637.14
Yorkshire and Humber,2022,28117904.43,7147430.754,35265335.19
Yorkshire and Humber,2023,28836804.36,7750134.728,36586939.09
Yorkshire and Humber,2024,28480102.56,8290644.487,36770747.05
East Midlands,2019,24217586.44,5737139.204,29954725.64
East Midlands,2020,21890942.1,4770061.575,26661003.67
East Midlands,2021,21752348.13,5010374.905,26762723.03
East Midlands,2022,23634994.74,5447138.893,29082133.63
East Midlands,2023,24263906.13,5864007.334,30127913.46
East Midlands,2024,24038252.9,6225829.076,30264081.97
West Midlands,2019,30304222.59,7801347.083,38105569.68
West Midlands,2020,27228765.37,6450081.144,33678846.51
West Midlands,2021,27225432.04,6341691.817,33567123.85
West Midlands,2022,30011986.69,6892356.303,36904342.99
West Midlands,2023,30948316.15,7869003.003,38817319.16
West Midlands,2024,30991774.04,8538510.423,39530284.47
East of England,2019,33777712.85,7786385.993,41564098.84
East of England,2020,30526215.55,6585827.652,37112043.2
East of England,2021,30300979.11,6834352.119,37135331.23
East of England,2022,33419264.74,7366199.543,40785464.28
East of England,2023,34224116.13,7915297.531,42139413.66
East of England,2024,33677330.58,8740088.719,42417419.3
London,2019,34773256.86,16269686.37,51042943.23
London,2020,31094061.48,12753292.21,43847353.69
London,2021,31042111.2,12608230.58,43650341.78
London,2022,34135724.73,14681742.39,48817467.12
London,2023,35221400.88,15384813.51,50606214.39
London,2024,34689803.64,13335078.57,48024882.21
South East,2019,43624296.1,10785376.43,54409672.53
South East,2020,39639156.07,8877881.561,48517037.63
South East,2021,38826317.74,9231148.001,48057465.74
South East,2022,42241980.75,10023792.54,52265773.29
South East,2023,43354521.45,9465765.378,52820286.83
South East,2024,42544991.38,9968991.475,52513982.85
South West,2019,27773442.15,5172428.212,32945870.36
South West,2020,25438277.69,4193573.94,29631851.63
South West,2021,24739227.13,4104966.7,28844193.83
South West,2022,26819855.11,4772720.887,31592576
South West,2023,27599739.86,5356006.602,32955746.46
South West,2024,27575466.82,5718930.71,33294397.53
